antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'other vegetables'}),frozenset({'UHT-milk'}),0.3766033863519754,0.07850179579271421,0.038994356080041044,0.10354223433242506,1.318979181136578,1.0,0.009430313949793618,1.0279326472464252,0.3879358891054796,0.09371146732429099,0.02717361621041004,0.30013713023810795
frozenset({'UHT-milk'}),frozenset({'other vegetables'}),0.07850179579271421,0.3766033863519754,0.038994356080041044,0.4967320261437908,1.318979181136578,1.0,0.009430313949793618,1.2386971673785425,0.2624399249794865,0.09371146732429099,0.19270018020925783,0.30013713023810795
frozenset({'rolls/buns'}),frozenset({'UHT-milk'}),0.3496664956387891,0.07850179579271421,0.0310415597742432,0.08877476155539252,1.1308628122317648,1.0,0.0035921119380529845,1.0112737941501857,0.17793861150504514,0.07816537467700259,0.011148112623307359,0.24209979907834983
frozenset({'UHT-milk'}),frozenset({'rolls/buns'}),0.07850179579271421,0.3496664956387891,0.0310415597742432,0.3954248366013072,1.1308628122317648,1.0,0.0035921119380529845,1.0756867693758405,0.12557750004601598,0.07816537467700259,0.07036134637944594,0.24209979907834983
frozenset({'whole milk'}),frozenset({'UHT-milk'}),0.4581836839404823,0.07850179579271421,0.040533606977937404,0.08846584546472565,1.1269276654297404,1.0,0.0045653649856881515,1.0109310766057817,0.2078778289221327,0.08169596690796276,0.010812880184159403,0.30240285737288575
frozenset({'UHT-milk'}),frozenset({'whole milk'}),0.07850179579271421,0.4581836839404823,0.040533606977937404,0.5163398692810458,1.1269276654297404,1.0,0.0045653649856881515,1.1202418426635976,0.12222660765132079,0.08169596690796276,0.10733561101208167,0.30240285737288575
frozenset({'beef'}),frozenset({'other vegetables'}),0.11954848640328374,0.3766033863519754,0.05079527963057978,0.4248927038626609,1.1282232695208803,1.0,0.005772914817850042,1.0839657535820129,0.12908219726401537,0.1140552995391705,0.07746162948833427,0.2798850440294231
frozenset({'other vegetables'}),frozenset({'beef'}),0.3766033863519754,0.11954848640328374,0.05079527963057978,0.13487738419618528,1.1282232695208803,1.0,0.005772914817850042,1.0177187574488027,0.18230868354325133,0.1140552995391705,0.01741026911326638,0.2798850440294231
frozenset({'root vegetables'}),frozenset({'beef'}),0.23063109286813752,0.11954848640328374,0.03309389430477168,0.14349276974416017,1.2002893057140265,1.0,0.005522296234850673,1.02795572821227,0.2168888337456155,0.10436893203883495,0.027195459342289143,0.21015840203946207
frozenset({'beef'}),frozenset({'root vegetables'}),0.11954848640328374,0.23063109286813752,0.03309389430477168,0.27682403433476394,1.2002893057140265,1.0,0.005522296234850673,1.0638751060042964,0.18952494533889883,0.10436893203883495,0.06004004195962314,0.21015840203946207
frozenset({'beef'}),frozenset({'soda'}),0.11954848640328374,0.3134940995382247,0.04284248332478194,0.3583690987124463,1.1431446373004222,1.0,0.005364738228626806,1.0699389619237034,0.14222254791117078,0.10979618671926362,0.06536724468651563,0.24751515492087128
frozenset({'soda'}),frozenset({'beef'}),0.3134940995382247,0.11954848640328374,0.04284248332478194,0.13666121112929625,1.1431446373004222,1.0,0.005364738228626806,1.0198215636162913,0.18240201211925935,0.10979618671926362,0.019436305647434954,0.24751515492087128
frozenset({'whole milk'}),frozenset({'beef'}),0.4581836839404823,0.11954848640328374,0.06413545407901487,0.13997760358342665,1.1708856196742425,1.0,0.009360288169249671,1.023754168804515,0.26936363636363614,0.12487512487512487,0.023203000806584228,0.33822914513935276
frozenset({'beef'}),frozenset({'whole milk'}),0.11954848640328374,0.4581836839404823,0.06413545407901487,0.5364806866952789,1.1708856196742425,1.0,0.009360288169249671,1.1689185337209964,0.16576223776223764,0.12487512487512487,0.14450838860710094,0.33822914513935276
frozenset({'yogurt'}),frozenset({'beef'}),0.28296562339661363,0.11954848640328374,0.038481272447408926,0.1359927470534905,1.137553064408811,1.0,0.004653160466182159,1.0190325493149823,0.1686392367322601,0.10570824524312895,0.01867707692730359,0.22894057953532893
frozenset({'beef'}),frozenset({'yogurt'}),0.11954848640328374,0.28296562339661363,0.038481272447408926,0.3218884120171674,1.137553064408811,1.0,0.004653160466182159,1.0573987958771458,0.13733877233877248,0.10570824524312895,0.05428301611553436,0.22894057953532893
frozenset({'other vegetables'}),frozenset({'berries'}),0.3766033863519754,0.0797845048742945,0.03694202154951257,0.09809264305177112,1.2294698476392407,1.0,0.006894906835437576,1.020299355622761,0.2993941472336535,0.08807339449541285,0.019895489996042334,0.2805575755451782
frozenset({'berries'}),frozenset({'other vegetables'}),0.0797845048742945,0.3766033863519754,0.03694202154951257,0.46302250803858525,1.2294698476392407,1.0,0.006894906835437576,1.1609362086499142,0.20282346745965377,0.08807339449541285,0.13862622894419968,0.2805575755451782
frozenset({'whole milk'}),frozenset({'berries'}),0.4581836839404823,0.0797845048742945,0.039250897896357106,0.0856662933930571,1.073720937768928,1.0,0.0026949395316854807,1.0064328685208268,0.1267206377500495,0.0787037037037037,0.0063917512255747475,0.288813854092027
frozenset({'berries'}),frozenset({'whole milk'}),0.0797845048742945,0.4581836839404823,0.039250897896357106,0.4919614147909968,1.073720937768928,1.0,0.0026949395316854807,1.0664865461677848,0.07461220711683986,0.0787037037037037,0.06234166423073177,0.288813854092027
frozenset({'bottled beer'}),frozenset({'bottled water'}),0.15879938429964083,0.21369933299127758,0.04027706516162134,0.2536348949919225,1.186877335748516,1.0,0.006341742657362537,1.053506737832033,0.1871764539056687,0.12123552123552121,0.05078917477276145,0.22105514257399245
frozenset({'bottled water'}),frozenset({'bottled beer'}),0.21369933299127758,0.15879938429964083,0.04027706516162134,0.1884753901560624,1.1868773357485158,1.0,0.006341742657362537,1.0365682143171586,0.20024521773464524,0.12123552123552121,0.035278155177899145,0.22105514257399245
frozenset({'bottled beer'}),frozenset({'citrus fruit'}),0.15879938429964083,0.18547973319651104,0.03155464340687532,0.1987075928917609,1.071317008426119,1.0,0.0021005759752077136,1.016508155547096,0.07913626254286327,0.10090237899917964,0.01624006207624692,0.18441603710978086
frozenset({'citrus fruit'}),frozenset({'bottled beer'}),0.18547973319651104,0.15879938429964083,0.03155464340687532,0.1701244813278008,1.071317008426119,1.0,0.0021005759752077136,1.0136467419189328,0.08172844248127517,0.10090237899917964,0.013463015619325282,0.18441603710978086
frozenset({'bottled beer'}),frozenset({'other vegetables'}),0.15879938429964083,0.3766033863519754,0.06849666495638788,0.43134087237479807,1.1453451774638712,1.0,0.00869227907853444,1.096257113204907,0.150856717300995,0.14670329670329668,0.08780523478064314,0.3066104906833118
frozenset({'other vegetables'}),frozenset({'bottled beer'}),0.3766033863519754,0.15879938429964083,0.06849666495638788,0.18188010899182558,1.145345177463871,1.0,0.00869227907853444,1.0282119099484823,0.20356344692591055,0.14670329670329668,0.027437836184853966,0.3066104906833118
frozenset({'pastry'}),frozenset({'bottled beer'}),0.1775269368907132,0.15879938429964083,0.0336069779374038,0.1893063583815029,1.1921101534266532,1.0,0.005415809662557346,1.037630705997591,0.19593510259865804,0.11101694915254239,0.03626599114702602,0.2004690111778274
frozenset({'bottled beer'}),frozenset({'pastry'}),0.15879938429964083,0.1775269368907132,0.0336069779374038,0.21163166397415187,1.1921101534266532,1.0,0.005415809662557346,1.0432598894767389,0.19157302193696177,0.11101694915254239,0.041466071793900175,0.2004690111778274
frozenset({'pip fruit'}),frozenset({'bottled beer'}),0.17060030785017957,0.15879938429964083,0.033350436121087734,0.19548872180451127,1.2310420639644346,1.0,0.006259212273150037,1.0456045036275492,0.22628423231578204,0.11265164644714037,0.0436154429990805,0.20275243844668212
frozenset({'bottled beer'}),frozenset({'pip fruit'}),0.15879938429964083,0.17060030785017957,0.033350436121087734,0.210016155088853,1.2310420639644346,1.0,0.006259212273150037,1.0498944978338218,0.2231097661106811,0.11265164644714037,0.04752334442819331,0.20275243844668212
frozenset({'rolls/buns'}),frozenset({'bottled beer'}),0.3496664956387891,0.15879938429964083,0.06310928681375064,0.18048422597212033,1.136554948044144,1.0,0.0075824625960978845,1.02646055434162,0.18474848062090105,0.14170506912442393,0.025778442463960074,0.2889497058778211
frozenset({'bottled beer'}),frozenset({'rolls/buns'}),0.15879938429964083,0.3496664956387891,0.06310928681375064,0.3974151857835218,1.136554948044144,1.0,0.0075824625960978845,1.0792397833769154,0.14282933771698203,0.14170506912442393,0.07342185174917874,0.2889497058778211
frozenset({'root vegetables'}),frozenset({'bottled beer'}),0.23063109286813752,0.15879938429964083,0.04284248332478194,0.185761957730812,1.1697901635455659,1.0,0.006218407776968415,1.033113870921616,0.18865569960445897,0.12361213915618059,0.03205248894013578,0.22777597078786158
frozenset({'bottled beer'}),frozenset({'root vegetables'}),0.15879938429964083,0.23063109286813752,0.04284248332478194,0.26978998384491115,1.1697901635455659,1.0,0.006218407776968415,1.0536268883066877,0.17254603327653933,0.12361213915618059,0.05089741814853739,0.22777597078786158
frozenset({'sausage'}),frozenset({'bottled beer'}),0.2060030785017958,0.15879938429964083,0.039763981528989224,0.1930261519302615,1.2155346368726323,1.0,0.007050819499073477,1.0424137259373278,0.22332169472093397,0.12233622730860301,0.0406879964087098,0.22171501457579312
frozenset({'bottled beer'}),frozenset({'sausage'}),0.15879938429964083,0.2060030785017958,0.039763981528989224,0.25040387722132473,1.2155346368726323,1.0,0.007050819499073477,1.0592329620848888,0.21079007171738046,0.12233622730860301,0.05592061822575889,0.22171501457579312
frozenset({'shopping bags'}),frozenset({'bottled beer'}),0.16829143150333503,0.15879938429964083,0.030271934325295024,0.17987804878048783,1.1327376965207456,1.0,0.0035473586196602437,1.025701865984081,0.1408944050021437,0.10198789974070875,0.02505783292050674,0.1852540486228772
frozenset({'bottled beer'}),frozenset({'shopping bags'}),0.15879938429964083,0.16829143150333503,0.030271934325295024,0.19063004846526657,1.1327376965207456,1.0,0.0035473586196602437,1.0276000077833045,0.13930456267671543,0.10198789974070875,0.026858707254043535,0.1852540486228772
