support,itemsets
0.3333333333333333,frozenset({'apple'})
0.5,frozenset({'banana'})
0.5,frozenset({'bread'})
0.16666666666666666,frozenset({'butter'})
0.16666666666666666,frozenset({'cheese'})
0.3333333333333333,frozenset({'grape'})
0.3333333333333333,frozenset({'milk'})
0.3333333333333333,"frozenset({'banana', 'apple'})"
0.16666666666666666,"frozenset({'grape', 'apple'})"
0.3333333333333333,"frozenset({'grape', 'banana'})"
0.16666666666666666,"frozenset({'bread', 'butter'})"
0.16666666666666666,"frozenset({'bread', 'cheese'})"
0.3333333333333333,"frozenset({'bread', 'milk'})"
0.16666666666666666,"frozenset({'milk', 'cheese'})"
0.16666666666666666,"frozenset({'grape', 'banana', 'apple'})"
0.16666666666666666,"frozenset({'bread', 'milk', 'cheese'})"
